2021-01-27 at 09:03:22 | INFO | Done
2021-01-27 at 09:03:23 | INFO | exit from DB
2021-01-27 at 09:03:24 | DEBUG | Fault reading
2021-01-27 at 09:03:35 | INFO | Data Base is ready to use
2021-01-27 at 09:03:35 | INFO | exit from DB
2021-01-27 at 09:03:35 | INFO | Polling ON
2021-01-27 at 09:03:36 | INFO | Data Base is ready to use
2021-01-27 at 09:03:36 | INFO | Done
2021-01-27 at 09:03:37 | INFO | exit from DB
2021-01-27 at 09:03:37 | DEBUG | Fault reading
2021-01-27 at 09:03:37 | INFO | Data Base is ready to use
2021-01-27 at 09:03:37 | INFO | Done
2021-01-27 at 09:03:38 | INFO | exit from DB
2021-01-27 at 09:03:38 | DEBUG | Fault reading
2021-01-27 at 09:03:38 | INFO | Data Base is ready to use
2021-01-27 at 09:03:39 | INFO | Done
2021-01-27 at 09:03:39 | INFO | exit from DB
2021-01-27 at 09:03:39 | DEBUG | Fault reading
2021-01-27 at 09:03:39 | INFO | Data Base is ready to use
2021-01-27 at 09:03:40 | INFO | Done
2021-01-27 at 09:03:40 | INFO | exit from DB
2021-01-27 at 09:03:40 | DEBUG | Fault reading
2021-01-27 at 09:03:40 | INFO | Data Base is ready to use
2021-01-27 at 09:03:41 | INFO | Done
2021-01-27 at 09:03:41 | INFO | exit from DB
2021-01-27 at 09:03:41 | DEBUG | Fault reading
2021-01-27 at 09:03:42 | INFO | Data Base is ready to use
2021-01-27 at 09:03:42 | INFO | Done
2021-01-27 at 09:03:43 | INFO | exit from DB
2021-01-27 at 09:03:43 | DEBUG | Fault reading
2021-01-27 at 09:03:43 | INFO | Disconnected for end of polling this device
2021-01-27 at 09:03:43 | INFO | Polling ON
2021-01-27 at 09:03:43 | INFO | Data Base is ready to use
2021-01-27 at 09:03:44 | INFO | Done
2021-01-27 at 09:03:44 | INFO | exit from DB
2021-01-27 at 09:03:44 | DEBUG | Fault reading
2021-01-27 at 09:03:45 | INFO | Data Base is ready to use
2021-01-27 at 09:03:46 | INFO | Done
2021-01-27 at 09:03:46 | INFO | exit from DB
2021-01-27 at 09:03:46 | DEBUG | Fault reading
2021-01-27 at 09:03:46 | INFO | Data Base is ready to use
2021-01-27 at 09:03:47 | INFO | Done
2021-01-27 at 09:03:48 | INFO | exit from DB
2021-01-27 at 09:03:48 | DEBUG | Fault reading
2021-01-27 at 09:03:48 | INFO | Data Base is ready to use
2021-01-27 at 09:03:49 | INFO | Done
2021-01-27 at 09:03:50 | INFO | exit from DB
2021-01-27 at 09:03:50 | DEBUG | Fault reading
2021-01-27 at 09:03:51 | INFO | Data Base is ready to use
2021-01-27 at 09:03:51 | INFO | Done
2021-01-27 at 09:03:52 | INFO | exit from DB
2021-01-27 at 09:03:52 | DEBUG | Fault reading
2021-01-27 at 09:03:53 | INFO | Data Base is ready to use
2021-01-27 at 09:03:54 | INFO | Done
2021-01-27 at 09:03:54 | INFO | exit from DB
2021-01-27 at 09:03:55 | DEBUG | Fault reading
2021-01-27 at 09:03:55 | INFO | Disconnected for end of polling this device
